Mp_Mjup,Mdot_Mjup_yr,alpha,kappaR,Rin_Rjup,Rout_AU,d_pc,wavelength,kappa_mm,Tb_avg_K,F_nu_muJy
0.3,1e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,294.9,192.12
0.3,1e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,226.8,63.17
0.3,1e-05,0.03,10.0,1.0,0.12,140,3mm,0.0041,65.8,3.44
0.3,1e-05,0.03,10.0,1.0,0.12,140,10mm,0.0005,8.5,0.04
0.3,1e-05,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,134.1,87.36
0.3,1e-05,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,79.1,22.04
0.3,1e-05,0.1,1.0,1.0,0.12,140,3mm,0.0041,20.5,1.07
0.3,1e-05,0.1,1.0,1.0,0.12,140,10mm,0.0005,2.7,0.01
0.3,1e-05,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,153.9,100.28
0.3,1e-05,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,82.5,22.97
0.3,1e-05,0.1,10.0,1.0,0.12,140,3mm,0.0041,20.2,1.06
0.3,1e-05,0.1,10.0,1.0,0.12,140,10mm,0.0005,2.6,0.01
0.3,3e-05,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,302.5,197.06
0.3,3e-05,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,317.3,88.36
0.3,3e-05,0.01,1.0,1.0,0.12,140,3mm,0.0041,364.1,19.04
0.3,3e-05,0.01,1.0,1.0,0.12,140,10mm,0.0005,77.5,0.36
0.3,3e-05,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,388.1,252.84
0.3,3e-05,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,444.9,123.89
0.3,3e-05,0.01,10.0,1.0,0.12,140,3mm,0.0041,440.8,23.05
0.3,3e-05,0.01,10.0,1.0,0.12,140,10mm,0.0005,71.8,0.34
0.3,3e-05,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,302.5,197.06
0.3,3e-05,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,317.3,88.36
0.3,3e-05,0.03,1.0,1.0,0.12,140,3mm,0.0041,183.2,9.58
0.3,3e-05,0.03,1.0,1.0,0.12,140,10mm,0.0005,26.2,0.12
0.3,3e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,388.1,252.84
0.3,3e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,444.9,123.89
0.3,3e-05,0.03,10.0,1.0,0.12,140,3mm,0.0041,183.7,9.61
0.3,3e-05,0.03,10.0,1.0,0.12,140,10mm,0.0005,24.6,0.12
0.3,3e-05,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,281.1,183.14
0.3,3e-05,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,196.8,54.81
0.3,3e-05,0.1,1.0,1.0,0.12,140,3mm,0.0041,61.2,3.20
0.3,3e-05,0.1,1.0,1.0,0.12,140,10mm,0.0005,7.9,0.04
0.3,3e-05,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,352.3,229.52
0.3,3e-05,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,224.2,62.43
0.3,3e-05,0.1,10.0,1.0,0.12,140,3mm,0.0041,59.9,3.13
0.3,3e-05,0.1,10.0,1.0,0.12,140,10mm,0.0005,7.7,0.04
0.3,1e-04,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
0.3,1e-04,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,428.7,119.39
0.3,1e-04,0.01,1.0,1.0,0.12,140,3mm,0.0041,510.7,26.71
0.3,1e-04,0.01,1.0,1.0,0.12,140,10mm,0.0005,239.9,1.13
0.3,1e-04,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
0.3,1e-04,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,601.1,167.40
0.3,1e-04,0.01,10.0,1.0,0.12,140,3mm,0.0041,825.6,43.17
0.3,1e-04,0.01,10.0,1.0,0.12,140,10mm,0.0005,235.8,1.11
0.3,1e-04,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
0.3,1e-04,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,428.7,119.39
0.3,1e-04,0.03,1.0,1.0,0.12,140,3mm,0.0041,459.2,24.01
0.3,1e-04,0.03,1.0,1.0,0.12,140,10mm,0.0005,86.3,0.41
0.3,1e-04,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
0.3,1e-04,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,601.1,167.40
0.3,1e-04,0.03,10.0,1.0,0.12,140,3mm,0.0041,519.3,27.16
0.3,1e-04,0.03,10.0,1.0,0.12,140,10mm,0.0005,80.1,0.38
0.3,1e-04,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
0.3,1e-04,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,419.7,116.88
0.3,1e-04,0.1,1.0,1.0,0.12,140,3mm,0.0041,191.5,10.01
0.3,1e-04,0.1,1.0,1.0,0.12,140,10mm,0.0005,26.3,0.12
0.3,1e-04,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
0.3,1e-04,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,549.9,153.15
0.3,1e-04,0.1,10.0,1.0,0.12,140,3mm,0.0041,189.9,9.93
0.3,1e-04,0.1,10.0,1.0,0.12,140,10mm,0.0005,24.9,0.12
1.0,1e-06,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,165.3,107.68
1.0,1e-06,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,117.8,32.80
1.0,1e-06,0.01,1.0,1.0,0.12,140,3mm,0.0041,37.2,1.95
1.0,1e-06,0.01,1.0,1.0,0.12,140,10mm,0.0005,4.8,0.02
1.0,1e-06,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,207.9,135.42
1.0,1e-06,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,134.9,37.57
1.0,1e-06,0.01,10.0,1.0,0.12,140,3mm,0.0041,36.4,1.90
1.0,1e-06,0.01,10.0,1.0,0.12,140,10mm,0.0005,4.7,0.02
1.0,1e-06,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,86.7,56.47
1.0,1e-06,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,49.5,13.78
1.0,1e-06,0.03,1.0,1.0,0.12,140,3mm,0.0041,12.5,0.65
1.0,1e-06,0.03,1.0,1.0,0.12,140,10mm,0.0005,1.6,0.01
1.0,1e-06,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,97.2,63.33
1.0,1e-06,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,50.8,14.15
1.0,1e-06,0.03,10.0,1.0,0.12,140,3mm,0.0041,12.3,0.65
1.0,1e-06,0.03,10.0,1.0,0.12,140,10mm,0.0005,1.6,0.01
1.0,1e-06,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,31.6,20.56
1.0,1e-06,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,15.7,4.37
1.0,1e-06,0.1,1.0,1.0,0.12,140,3mm,0.0041,3.8,0.20
1.0,1e-06,0.1,1.0,1.0,0.12,140,10mm,0.0005,0.5,0.00
1.0,1e-06,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,31.9,20.78
1.0,1e-06,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,15.5,4.31
1.0,1e-06,0.1,10.0,1.0,0.12,140,3mm,0.0041,3.7,0.20
1.0,1e-06,0.1,10.0,1.0,0.12,140,10mm,0.0005,0.5,0.00
1.0,3e-06,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,229.9,149.73
1.0,3e-06,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,234.3,65.24
1.0,3e-06,0.01,1.0,1.0,0.12,140,3mm,0.0041,105.2,5.50
1.0,3e-06,0.01,1.0,1.0,0.12,140,10mm,0.0005,14.4,0.07
1.0,3e-06,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,294.9,192.12
1.0,3e-06,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,304.9,84.92
